25,36,37,38,31,27,51,B,D,F,G,A,L,50,52,DS1,DS2,N
25,0,61,75,24,5,81,26,51,36,69,62,51,72,63,47,70,52,91
36,61,0,36,40,25,43,38,68,32,51,88,62,72,34,45,27,74,42
37,75,36,0,58,44,71,48,23,48,37,38,83,31,50,76,38,44,43
38,24,40,58,0,36,43,58,30,52,38,16,80,42,83,77,35,50,22
31,5,25,44,36,0,26,39,26,91,67,96,27,61,51,65,68,74,34
27,81,43,71,43,26,0,41,43,69,55,41,42,53,43,61,48,45,45
51,26,38,48,58,39,41,0,78,59,38,54,76,70,62,53,52,65,56
B,51,68,23,30,26,43,78,0,31,50,41,19,23,41,55,28,77,48
D,36,32,48,52,91,69,59,31,0,55,65,79,75,41,25,37,65,43
F,69,51,37,38,67,55,38,50,55,0,70,32,59,28,56,51,52,76
G,62,88,38,16,96,41,54,41,65,70,0,27,41,77,35,52,56,82
A,51,62,83,80,27,42,76,19,79,32,27,0,47,54,38,58,81,51
L,72,72,31,42,61,53,70,23,75,59,41,47,0,28,64,38,42,70
50,63,34,50,83,51,43,62,41,41,28,77,54,28,0,48,88,82,74
52,47,45,76,77,65,61,53,55,25,56,35,38,64,48,0,88,28,35
DS1,70,27,38,35,68,48,52,28,37,51,52,58,38,88,88,0,32,56
DS2,52,74,44,50,74,45,65,77,65,52,56,81,42,82,28,32,0,52
N,91,42,43,22,34,45,56,48,43,76,82,51,70,74,35,56,52,0
