25,36,37,38,34,27,51,B,D,F,G,A,L,50,52,DS1,DS2,N,Er1,Er2
25,0,83,14,16,53,15,24,76,25,37,35,25,89,54,66,61,38,56,21,55
36,83,0,57,84,43,58,54,48,64,50,69,27,34,62,7,84,84,81,28,88
37,14,57,0,52,78,83,25,36,65,53,52,63,22,43,62,43,53,40,13,17
38,16,84,52,0,52,77,37,61,60,62,29,43,20,53,34,54,64,7,27,26
34,53,43,78,52,0,50,58,49,29,50,57,59,57,31,72,56,77,74,55,33
27,15,58,83,77,50,0,68,14,64,40,61,83,13,18,63,19,60,67,62,40
51,24,54,25,37,58,68,0,49,42,25,45,44,53,54,64,64,29,56,68,15
B,76,48,36,61,49,14,49,0,27,53,81,38,26,50,42,56,65,44,41,48
D,25,64,65,60,29,64,42,27,0,39,42,84,72,70,44,47,90,22,50,47
F,37,50,53,62,50,40,25,53,39,0,41,57,23,60,36,64,59,43,34,27
G,35,69,52,29,57,61,45,81,42,41,0,63,52,62,30,59,61,30,67,73
A,25,27,63,43,59,83,44,38,84,57,63,0,52,47,62,67,65,46,69,48
L,89,34,22,20,57,13,53,26,72,23,52,52,0,69,24,61,11,26,59,35
50,54,62,43,53,31,18,54,50,70,60,62,47,69,0,64,70,36,48,35,58
52,66,7,62,34,72,63,64,42,44,36,30,62,24,64,0,8,57,51,50,46
DS1,61,84,43,54,56,19,64,56,47,64,59,67,61,70,8,0,13,31,43,78
DS2,38,84,53,64,77,60,29,65,90,59,61,65,11,36,57,13,0,61,52,26
N,56,81,40,7,74,67,56,44,22,43,30,46,26,48,51,31,61,0,41,38
Er1,21,28,13,27,55,62,68,41,50,34,67,69,59,35,50,43,52,41,0,17
Er2,55,88,17,26,33,40,15,48,47,27,73,48,35,58,46,78,26,38,17,0
