25,36,37,38,31,27,51,B,D,E,F,H,A,L,50,52,DS1,DS2
25,0,66,56,44,47,30,40,49,36,46,51,32,70,46,63,20,73,27
36,66,0,42,51,34,71,76,48,60,23,37,12,86,79,46,71,96,43
37,56,42,0,81,80,26,13,39,56,72,73,41,31,43,26,35,43,86
38,44,51,81,0,57,5,15,27,48,64,32,42,42,61,38,39,39,43
31,47,34,80,57,0,29,44,37,27,34,85,58,50,76,17,44,65,55
27,30,71,26,5,29,0,54,66,57,22,20,69,42,29,89,70,61,10
51,40,76,13,15,44,54,0,72,51,85,21,37,34,40,51,17,56,55
B,49,48,39,27,37,66,72,0,75,50,43,30,50,15,36,73,47,72
D,36,60,56,48,27,57,51,75,0,51,59,62,44,41,74,4,40,45
E,46,23,72,64,34,22,85,50,51,0,49,83,64,77,80,79,32,54
F,51,37,73,32,85,20,21,43,59,49,0,52,72,46,60,46,54,82
H,32,12,41,42,58,69,37,30,62,83,52,0,45,83,13,69,53,60
A,70,86,31,42,50,42,34,50,44,64,72,45,0,45,84,31,63,51
L,46,79,43,61,76,29,40,15,41,77,46,83,45,0,39,39,32,74
50,63,46,26,38,17,89,51,36,74,80,60,13,84,39,0,27,58,31
52,20,71,35,39,44,70,17,73,4,79,46,69,31,39,27,0,50,51
DS1,73,96,43,39,65,61,56,47,40,32,54,53,63,32,58,50,0,23
DS2,27,43,86,43,55,10,55,72,45,54,82,60,51,74,31,51,23,0
