r25,r36,r37,r38,r34,r27,r51,rB,rD,rF,rG,rA,rL,r50,r52,rEr1,rEr2,rDS1,rDS2,rN
r25,0,41,68,49,28,54,53,37,34,46,31,29,35,62,21,29,77,38,79,64
r36,41,0,82,7,67,59,49,88,12,75,51,38,72,47,66,58,84,27,27,67
r37,68,82,0,36,35,14,73,48,37,22,18,75,9,83,63,52,70,42,64,92
r38,49,7,36,0,48,48,28,54,65,48,73,86,19,61,75,29,49,35,57,77
r34,28,67,35,48,0,20,42,28,71,40,37,47,76,46,71,47,45,17,45,56
r27,54,59,14,48,20,0,58,40,53,46,79,32,9,88,16,49,95,54,41,68
r51,53,49,73,28,42,58,0,12,76,53,24,54,50,46,35,28,41,29,29,26
rB,37,88,48,54,28,40,12,0,62,40,36,78,71,59,61,58,40,58,60,84
rD,34,12,37,65,71,53,76,62,0,21,74,16,30,61,93,71,51,44,54,79
rF,46,75,22,48,40,46,53,40,21,0,49,61,19,43,33,38,41,83,30,54
rG,31,51,18,73,37,79,24,36,74,49,0,27,52,49,10,92,77,28,58,45
rA,29,38,75,86,47,32,54,78,16,61,27,0,57,65,11,25,60,39,62,22
rL,35,72,9,19,76,9,50,71,30,19,52,57,0,81,64,62,42,40,57,66
r50,62,47,83,61,46,88,46,59,61,43,49,65,81,0,45,21,45,54,42,64
r52,21,66,63,75,71,16,35,61,93,33,10,11,64,45,0,61,80,71,55,38
rEr1,29,58,52,29,47,49,28,58,71,38,92,25,62,21,61,0,72,62,32,82
rEr2,77,84,70,49,45,95,41,40,51,41,77,60,42,45,80,72,0,26,41,77
rDS1,38,27,42,35,17,54,29,58,44,83,28,39,40,54,71,62,26,0,41,42
rDS2,79,27,64,57,45,41,29,60,54,30,58,62,57,42,55,32,41,41,0,84
rN,64,67,92,77,56,68,26,84,79,54,45,22,66,64,38,82,77,42,84,0
