r36,r37,r38,r31,r27,rB,rD,rE,rF,rG,rA,rL,r50,r52,rDS1,rDS2
r36,0,38,47,40,50,60,37,30,59,61,37,65,78,30,63,10
r37,38,0,66,17,53,76,42,73,45,55,65,50,37,47,24,23
r38,47,66,0,53,73,52,46,53,31,60,61,70,33,54,62,40
r31,40,17,53,0,24,21,49,13,51,40,34,40,50,70,14,44
r27,50,53,73,24,0,33,33,76,44,46,59,62,43,25,38,8
rB,60,76,52,21,33,0,64,74,56,54,82,48,9,60,11,40
rD,37,42,46,49,33,64,0,50,9,15,90,57,40,10,22,39
rE,30,73,53,13,76,74,50,0,69,86,21,11,49,41,59,33
rF,59,45,31,51,44,56,9,69,0,19,56,50,56,28,60,52
rG,61,55,60,40,46,54,15,86,19,0,14,41,30,87,49,25
rA,37,65,61,34,59,82,90,21,56,14,0,67,54,77,25,56
rL,65,50,70,40,62,48,57,11,50,41,67,0,59,94,62,51
r50,78,37,33,50,43,9,40,49,56,30,54,59,0,57,82,72
r52,30,47,54,70,25,60,10,41,28,87,77,94,57,0,32,55
rDS1,63,24,62,14,38,11,22,59,60,49,25,62,82,32,0,62
rDS2,10,23,40,44,8,40,39,33,52,25,56,51,72,55,62,0
