r25,r36,r37,r38,r31,r27,r51,rB,rD,rF,rG,rA,rL,r50,r52,rDS1,rDS2,rN,rR
r25,0,25,47,73,43,67,57,38,69,89,72,61,79,32,20,81,46,46,28
r36,25,0,33,26,48,27,28,83,76,58,57,41,27,17,30,6,40,7,27
r37,47,33,0,56,54,64,35,27,82,75,57,36,63,18,63,83,9,48,57
r38,73,26,56,0,32,70,61,39,24,45,31,70,27,35,11,54,45,23,20
r31,43,48,54,32,0,48,67,78,45,39,75,33,38,70,60,35,38,67,44
r27,67,27,64,70,48,0,52,82,38,59,50,71,64,74,15,71,31,31,29
r51,57,28,35,61,67,52,0,43,55,55,66,1,17,15,43,27,80,78,33
rB,38,83,27,39,78,82,43,0,53,47,36,72,19,56,52,34,75,39,63
rD,69,76,82,24,45,38,55,53,0,31,24,21,41,40,47,51,58,46,43
rF,89,58,75,45,39,59,55,47,31,0,25,37,52,66,27,88,79,28,53
rG,72,57,57,31,75,50,66,36,24,25,0,42,42,6,30,48,55,43,51
rA,61,41,36,70,33,71,1,72,21,37,42,0,18,80,40,35,37,58,60
rL,79,27,63,27,38,64,17,19,41,52,42,18,0,12,61,86,23,62,73
r50,32,17,18,35,70,74,15,56,40,66,6,80,12,0,46,45,52,51,22
r52,20,30,63,11,60,15,43,52,47,27,30,40,61,46,0,83,45,46,20
rDS1,81,6,83,54,35,71,27,34,51,88,48,35,86,45,83,0,19,63,31
rDS2,46,40,9,45,38,31,80,75,58,79,55,37,23,52,45,19,0,78,38
rN,46,7,48,23,67,31,78,39,46,28,43,58,62,51,46,63,78,0,35
rR,28,27,57,20,44,29,33,63,43,53,51,60,73,22,20,31,38,35,0
