36,37,38,31,27,B,D,E,F,G,A,L,50,52,DS1,DS2
36,0,45,43,61,45,91,31,57,89,20,45,29,79,79,24,42
37,45,0,35,44,48,13,52,36,40,13,7,67,82,81,54,50
38,43,35,0,42,74,61,27,58,38,35,88,16,30,50,49,5
31,61,44,42,0,63,49,52,35,15,58,94,63,51,47,88,36
27,45,48,74,63,0,65,30,68,23,60,57,32,21,51,26,23
B,91,13,61,49,65,0,28,71,60,30,71,68,37,65,13,73
D,31,52,27,52,30,28,0,55,63,53,64,60,33,64,1,59
E,57,36,58,35,68,71,55,0,45,51,65,32,60,32,21,83
F,89,40,38,15,23,60,63,45,0,92,59,38,37,29,39,62
G,20,13,35,58,60,30,53,51,92,0,56,52,31,33,67,42
A,45,7,88,94,57,71,64,65,59,56,0,92,75,47,39,2
L,29,67,16,63,32,68,60,32,38,52,92,0,61,60,17,32
50,79,82,30,51,21,37,33,60,37,31,75,61,0,59,64,50
52,79,81,50,47,51,65,64,32,29,33,47,60,59,0,22,23
DS1,24,54,49,88,26,13,1,21,39,67,39,17,64,22,0,50
DS2,42,50,5,36,23,73,59,83,62,42,2,32,50,23,50,0
