25,36,37,38,34,27,51,B,D,F,G,A,50,52,DS1,DS2,N,Er1
25,0,83,25,74,55,25,23,30,92,58,34,35,82,39,30,51,74,52
36,83,0,49,33,50,30,32,56,30,84,24,46,6,38,51,38,67,67
37,25,49,0,88,57,43,51,89,53,52,70,85,58,32,71,56,52,69
38,74,33,88,0,32,72,29,65,83,53,37,40,73,3,40,35,43,5
34,55,50,57,32,0,40,37,89,69,56,75,55,34,54,46,84,17,62
27,25,30,43,72,40,0,69,10,29,64,45,52,51,41,27,68,24,61
51,23,32,51,29,37,69,0,51,49,47,51,22,42,44,49,22,46,12
B,30,56,89,65,89,10,51,0,60,35,59,58,10,78,52,74,37,70
D,92,30,53,83,69,29,49,60,0,45,36,39,81,57,38,52,28,47
F,58,84,52,53,56,64,47,35,45,0,42,25,62,53,28,68,40,16
G,34,24,70,37,75,45,51,59,36,42,0,67,41,29,32,65,23,25
A,35,46,85,40,55,52,22,58,39,25,67,0,58,78,17,82,35,42
50,82,6,58,73,34,51,42,10,81,62,41,58,0,53,59,81,18,14
52,39,38,32,3,54,41,44,78,57,53,29,78,53,0,31,86,54,54
DS1,30,51,71,40,46,27,49,52,38,28,32,17,59,31,0,54,60,55
DS2,51,38,56,35,84,68,22,74,52,68,65,82,81,86,54,0,88,23
N,74,67,52,43,17,24,46,37,28,40,23,35,18,54,60,88,0,36
Er1,52,67,69,5,62,61,12,70,47,16,25,42,14,54,55,23,36,0
