r25,r36,r37,r38,r31b,r27,r51,rB,rD,rF,rG,rA,rL,r50,r52,rDS1,rDS2
r25,0,56,46,30,46,28,27,45,70,70,85,50,43,39,53,70,24
r36,56,0,55,10,35,38,51,39,77,65,40,49,46,17,23,25,15
r37,46,55,0,46,53,68,46,52,61,51,16,47,21,52,53,64,79
r38,30,10,46,0,55,58,60,39,29,16,24,52,23,33,40,73,29
r31b,46,35,53,55,0,20,46,51,26,60,80,31,50,48,86,68,66
r27,28,38,68,58,20,0,58,28,31,31,86,52,27,43,30,21,62
r51,27,51,46,60,46,58,0,81,52,63,34,52,64,59,30,50,69
rB,45,39,52,39,51,28,81,0,39,55,38,21,45,75,25,70,62
rD,70,77,61,29,26,31,52,39,0,29,32,63,60,57,14,84,34
rF,70,65,51,16,60,31,63,55,29,0,86,29,46,48,46,45,69
rG,85,40,16,24,80,86,34,38,32,86,0,34,27,62,13,84,46
rA,50,49,47,52,31,52,52,21,63,29,34,0,66,53,70,38,29
rL,43,46,21,23,50,27,64,45,60,46,27,66,0,46,16,52,36
r50,39,17,52,33,48,43,59,75,57,48,62,53,46,0,41,5,28
r52,53,23,53,40,86,30,30,25,14,46,13,70,16,41,0,25,34
rDS1,70,25,64,73,68,21,50,70,84,45,84,38,52,5,25,0,37
rDS2,24,15,79,29,66,62,69,62,34,69,46,29,36,28,34,37,0
