r25,r36,r37,r38,r31,r27,rB,rD,rE,rF,rH,rA,rL,r50,r51,r52,rDS1,rDS2
r25,0,58,33,46,58,42,34,63,61,52,60,36,15,38,29,48,72,70
r36,58,0,32,32,49,92,56,23,9,80,90,60,93,32,82,55,30,49
r37,33,32,0,54,33,25,50,41,19,46,76,36,60,67,39,83,58,82
r38,46,32,54,0,15,24,72,32,43,81,84,71,38,86,21,76,20,34
r31,58,49,33,15,0,66,53,75,42,77,52,49,18,40,59,57,45,77
r27,42,92,25,24,66,0,8,22,48,83,44,53,38,76,48,63,74,54
rB,34,56,50,72,53,8,0,61,48,29,16,85,40,31,35,63,55,23
rD,63,23,41,32,75,22,61,0,52,26,42,81,23,66,55,41,44,63
rE,61,9,19,43,42,48,48,52,0,43,62,29,14,31,55,74,48,86
rF,52,80,46,81,77,83,29,26,43,0,48,49,21,25,52,22,36,69
rH,60,90,76,84,52,44,16,42,62,48,0,87,61,56,63,37,42,71
rA,36,60,36,71,49,53,85,81,29,49,87,0,50,21,20,17,48,33
rL,15,93,60,38,18,38,40,23,14,21,61,50,0,50,71,82,83,85
r50,38,32,67,86,40,76,31,66,31,25,56,21,50,0,12,52,85,53
r51,29,82,39,21,59,48,35,55,55,52,63,20,71,12,0,33,86,70
r52,48,55,83,76,57,63,63,41,74,22,37,17,82,52,33,0,56,25
rDS1,72,30,58,20,45,74,55,44,48,36,42,48,83,85,86,56,0,74
rDS2,70,49,82,34,77,54,23,63,86,69,71,33,85,53,70,25,74,0
